Activity Label,Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Training Run,Running,2024-10-15 09:16:44,false,"Albemarle County Running","9.01","937","00:59:45","146","162","3.2","153","161","6:38","5:53","505","502","1.58","7.7","12.1","269","6:36","438","0.0","431","607","NaN","NaN","--","NaN","NaN","NaN","64.4","No","00:59:45","1","73.4","31","13","39","00:59:40","01:01:39","703","855"
Workout,Running,2024-10-14 09:03:02,false,"Albemarle County Running","9.01","973","00:58:41","157","186","3.7","140","200","6:31","4:06","371","322","1.74","7.0","11.6","256","6:31","461","0.0","411","738","NaN","NaN","--","NaN","NaN","NaN","66.2","No","00:01:18.0","16","78.8","34","18","46","00:56:45","01:31:55","297","384"
Recovery,Running,2024-10-13 11:06:24,false,"Charlottesville Running","5.04","527","00:37:39","134","152","2.4","146","155","7:28","5:19","187","233","1.47","8.3","12.1","294","7:28","393","0.0","387","640","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:37:39","1","84.2","--","--","--","00:37:32","00:46:49","306","417"
Long Run,Running,2024-10-12 10:04:53,false,"Louisa County Running","12.00","1,262","01:19:03","150","165","3.5","151","162","6:35","5:45","525","492","1.61","7.7","12.3","272","6:34","437","0.0","434","612","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:19:03","1","86.0","34","19","42","01:18:58","01:26:27","334","493"
Double,Running,2024-10-11 16:05:27,false,"Charlottesville Running","4.03","423","00:28:34","139","150","2.4","149","163","7:05","5:56","302","285","1.51","8.0","12.0","280","7:00","413","0.0","407","609","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:28:34","1","86.0","--","--","--","00:28:29","00:31:48","538","769"
Long Run,Running,2024-10-11 08:05:04,false,"Charlottesville Running","11.09","1,129","01:05:30","157","196","4.0","154","190","5:54","3:41","174","144","1.73","7.0","11.6","256","5:56","469","0.0","447","684","NaN","NaN","--","NaN","NaN","NaN","64.4","No","00:00:03.1","37","78.8","--","--","--","01:05:11","01:52:45","532","574"
Training Run,Running,2024-10-10 12:32:45,false,"Charlottesville Running","9.51","1,006","01:03:04","142","167","3.5","149","181","6:38","4:03","571","659","1.61","7.7","12.3","273","6:35","436","0.0","430","639","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:03:04","1","82.4","--","--","--","01:02:48","01:08:54","330","592"
Training Run,Running,2024-10-09 08:21:19,false,"Charlottesville Running","9.01","963","01:02:19","140","158","3.2","149","167","6:55","5:34","351","354","1.55","7.9","12.2","279","6:56","413","0.0","409","561","NaN","NaN","--","NaN","NaN","NaN","64.4","No","01:02:19","1","75.2","--","--","--","01:02:14","01:07:20","371","581"
Double,Running,2024-10-08 17:07:05,false,"Charlottesville Running","5.01","499","00:35:29","126","148","2.4","149","158","7:05","6:13","236","236","1.52","8.0","12.2","284","7:04","410","0.0","405","548","NaN","NaN","--","NaN","NaN","NaN","71.6","No","00:35:29","1","78.8","--","--","--","00:35:26","00:36:34","489","591"
Workout,Running,2024-10-08 08:07:40,false,"Albemarle County Running","10.01","1,059","01:07:25","151","182","3.7","135","200","6:44","4:05","413","423","1.75","6.9","11.5","253","6:42","455","0.0","392","691","NaN","NaN","--","NaN","NaN","NaN","64.4","No","00:00:03.6","13","78.8","34","19","51","01:02:22","01:46:01","453","516"
